x,y,psi,kappa,v
4.8999,11.6636,-1.5925,2.6061,2.5361
4.8997,11.6592,-1.6041,2.7824,2.5365
4.8995,11.6549,-1.6162,2.9737,2.5368
4.8993,11.6507,-1.6289,3.1814,2.5372
4.899,11.6466,-1.6421,3.4071,2.5376
4.8986,11.6426,-1.656,3.6525,2.538
4.8982,11.6387,-1.6705,3.9194,2.5384
4.8978,11.6349,-1.6857,4.2101,2.5387
4.8973,11.6312,-1.7016,4.5266,2.5391
4.8968,11.6275,-1.7184,4.8715,2.5395
4.8962,11.624,-1.7359,5.2474,2.5399
4.8956,11.6206,-1.7544,5.6569,2.5403
4.8949,11.6173,-1.7738,6.1032,2.5407
4.8941,11.6141,-1.7943,6.5892,2.5412
4.8934,11.6109,-1.8158,7.118,2.5416
4.8925,11.6079,-1.8384,7.6929,2.542
4.8917,11.605,-1.8623,8.3167,2.5424
4.8907,11.6021,-1.8874,8.9924,2.5428
4.8897,11.5994,-1.9138,9.7223,2.5433
4.8887,11.5968,-1.9417,10.5083,2.5437
4.8876,11.5942,-1.971,11.3511,2.5441
4.8865,11.5918,-2.0019,12.2504,2.5446
4.8854,11.5895,-2.0344,13.2043,2.545
4.8841,11.5872,-2.0686,14.2087,2.5455
4.8829,11.5851,-2.1045,15.2571,2.546
4.8815,11.583,-2.1421,16.34,2.5464
4.8802,11.5811,-2.1815,17.4445,2.5469
4.8788,11.5792,-2.2227,18.5544,2.5474
4.8773,11.5774,-2.2655,19.6496,2.5478
4.8758,11.5758,-2.3101,6.9562,2.5483
4.8742,11.5742,-2.3562,19.6943,2.5488
4.8727,11.5725,-2.2817,28.3244,2.5493
4.8712,11.5705,-2.2143,24.2362,2.5498
4.8698,11.5684,-2.1535,20.6794,2.5503
4.8685,11.566,-2.0989,17.6349,2.5508
4.8671,11.5635,-2.0497,15.0557,2.5513
4.8659,11.5607,-2.0055,12.8838,2.5519
4.8646,11.5578,-1.9656,11.0599,2.5524
4.8635,11.5547,-1.9296,9.5293,2.5529
4.8624,11.5514,-1.897,8.2434,2.5534
4.8613,11.5479,-1.8673,7.1608,2.554
4.8603,11.5441,-1.8404,6.2467,2.5545
4.8593,11.5402,-1.8158,5.4723,2.5551
4.8583,11.5361,-1.7932,4.8138,2.5556
4.8575,11.5318,-1.7726,4.2515,2.5562
4.8566,11.5273,-1.7535,3.7696,2.5568
4.8559,11.5227,-1.7359,3.3549,2.5573
4.8551,11.5178,-1.7197,2.9965,2.5579
4.8544,11.5127,-1.7046,2.6857,2.5585
4.8538,11.5074,-1.6906,2.415,2.5591
4.8532,11.502,-1.6775,2.1784,2.5597
4.8527,11.4963,-1.6653,1.9709,2.5603
4.8522,11.4904,-1.6539,1.7883,2.5608
4.8518,11.4844,-1.6432,1.627,2.5613
4.8514,11.4781,-1.6332,1.4841,2.5618
4.851,11.4717,-1.6238,1.3571,2.5621
4.8507,11.465,-1.6149,1.2439,2.5622
4.8505,11.4582,-1.6065,1.1427,2.562
4.8503,11.4512,-1.5986,1.052,2.5614
4.8501,11.4439,-1.5911,0.9705,2.5602
4.85,11.4365,-1.584,0.8971,2.5583
4.85,11.4289,-1.5772,0.4154,2.5556
4.85,11.4211,-1.5708,0.4154,2.5332
4.85,11.4135,-1.5772,0.8971,2.5107
4.8499,11.4061,-1.584,0.9705,2.5074
4.8497,11.3988,-1.5911,1.052,2.505
4.8495,11.3918,-1.5986,1.1427,2.5033
4.8493,11.385,-1.6065,1.2439,2.5021
4.849,11.3783,-1.6149,1.3571,2.5013
4.8486,11.3719,-1.6238,1.4841,2.5007
4.8482,11.3656,-1.6332,1.627,2.5004
4.8478,11.3596,-1.6432,1.7883,2.5003
4.8473,11.3537,-1.6539,1.9709,2.5002
4.8468,11.348,-1.6653,2.1784,2.5001
4.8462,11.3426,-1.6775,2.415,2.5001
4.8456,11.3373,-1.6906,2.6857,2.5001
4.8449,11.3322,-1.7046,2.9965,2.5001
4.8441,11.3273,-1.7197,3.3549,2.5001
4.8434,11.3227,-1.7359,3.7696,2.5001
4.8425,11.3182,-1.7535,4.2515,2.5001
4.8417,11.3139,-1.7726,4.8138,2.5001
4.8407,11.3098,-1.7932,5.4723,2.5001
4.8397,11.3059,-1.8158,6.2467,2.5001
4.8387,11.3021,-1.8404,7.1608,2.5001
4.8376,11.2986,-1.8673,8.2434,2.5001
4.8365,11.2953,-1.897,9.5293,2.5001
4.8354,11.2922,-1.9296,11.0599,2.5001
4.8341,11.2893,-1.9656,12.8838,2.5001
4.8329,11.2865,-2.0055,15.0557,2.5001
4.8315,11.284,-2.0497,17.6349,2.5001
4.8302,11.2816,-2.0989,20.6794,2.5001
4.8288,11.2795,-2.1535,24.2362,2.5001
4.8273,11.2775,-2.2143,28.3244,2.5001
4.8258,11.2758,-2.2817,21.3141,2.5001
4.8242,11.2742,-2.3562,1.85,2.5001
4.8227,11.2726,-2.325,14.0957,2.5
4.8212,11.2709,-2.2938,14.0136,2.5
4.8198,11.2692,-2.2627,13.8921,2.5
4.8185,11.2675,-2.2318,13.7328,2.5
4.8171,11.2657,-2.2012,13.5378,2.5
4.8159,11.2638,-2.1708,13.3099,2.5
4.8146,11.2619,-2.1408,13.052,2.5
4.8135,11.26,-2.1112,12.7673,2.5001
4.8124,11.258,-2.082,12.4592,2.5001
4.8113,11.2559,-2.0533,12.1311,2.5001
4.8103,11.2538,-2.0251,11.7866,2.5001
4.8093,11.2517,-1.9974,11.4289,2.5001
4.8083,11.2495,-1.9703,11.0614,2.5001
