x,y,psi,kappa,v
3.4729,-0.0321,-2.7394,4.2682,5.6315
3.4659,-0.0348,-2.7707,3.5868,5.701
3.4583,-0.0375,-2.7986,3.0363,5.7711
3.4503,-0.0401,-2.8235,2.5884,5.8417
3.4418,-0.0427,-2.8459,2.2212,5.9129
3.4329,-0.0453,-2.8662,1.918,5.9845
3.4234,-0.0477,-2.8845,1.666,6.0564
3.4134,-0.0502,-2.9012,1.4552,6.1286
3.403,-0.0526,-2.9165,1.2776,6.2007
3.392,-0.0549,-2.9305,1.1271,6.2726
3.3806,-0.0572,-2.9434,0.9989,6.3436
3.3687,-0.0595,-2.9553,0.889,6.4132
3.3563,-0.0617,-2.9662,0.7944,6.4805
3.3434,-0.0638,-2.9764,0.7126,6.5443
3.33,-0.0659,-2.9859,0.6414,6.603
3.3162,-0.068,-2.9948,0.5793,6.6547
3.3018,-0.07,-3.003,0.5249,6.6974
3.287,-0.0719,-3.0108,0.4769,6.7316
3.2716,-0.0738,-3.018,0.4346,6.7611
3.2558,-0.0757,-3.0248,0.3971,6.7882
3.2395,-0.0775,-3.0313,0.3637,6.8125
3.2227,-0.0792,-3.0373,0.334,6.8342
3.2054,-0.0809,-3.043,0.3073,6.8531
3.1876,-0.0826,-3.0485,0.2834,6.8692
3.1694,-0.0842,-3.0536,0.2257,6.8824
3.1506,-0.0858,-3.0585,0.1496,6.8873
3.132,-0.0873,-3.0606,0.1174,6.8775
3.1134,-0.0888,-3.0628,0.1193,6.86
3.095,-0.0902,-3.065,0.1213,6.8427
3.0766,-0.0915,-3.0673,0.1233,6.8258
3.0583,-0.0929,-3.0695,0.1253,6.8093
3.0402,-0.0941,-3.0718,0.1274,6.7933
3.0221,-0.0954,-3.0741,0.1296,6.7777
3.0041,-0.0965,-3.0765,0.1318,6.7629
2.9863,-0.0976,-3.0788,0.134,6.7488
2.9685,-0.0987,-3.0812,0.1363,6.7357
2.9508,-0.0997,-3.0836,0.1386,6.7238
2.9332,-0.1007,-3.0861,0.141,6.7132
2.9158,-0.1017,-3.0886,0.1435,6.704
2.8984,-0.1025,-3.0911,0.146,6.6964
2.8811,-0.1034,-3.0936,0.1485,6.6904
2.8639,-0.1041,-3.0962,0.1511,6.6862
2.8468,-0.1049,-3.0988,0.1538,6.6837
2.8298,-0.1056,-3.1014,0.1565,6.6831
2.8129,-0.1062,-3.104,0.1593,6.6843
2.7961,-0.1068,-3.1067,0.1621,6.6874
2.7794,-0.1073,-3.1094,0.165,6.6923
2.7628,-0.1078,-3.1122,0.168,6.699
2.7463,-0.1082,-3.115,0.1711,6.7076
2.7299,-0.1086,-3.1178,0.1742,6.7179
2.7136,-0.109,-3.1206,0.1774,6.73
2.6974,-0.1093,-3.1235,0.1806,6.7439
2.6813,-0.1095,-3.1264,0.184,6.7568
2.6653,-0.1097,-3.1294,0.1874,6.766
2.6494,-0.1099,-3.1324,0.1909,6.7734
2.6335,-0.11,-3.1354,0.1945,6.7808
2.6178,-0.11,-3.1385,0.2566,6.7883
2.6022,-0.11,3.1416,0.2222,6.8053
2.5811,-0.1099,3.137,0.1138,6.8165
